B109517D7D052482E7442A1962D69D09,CDMA2000 1X 网络规划与优化,
B109517D7D052482E7442A1962D69D09,蜂窝网络规划与优化基础 : 2G/2.5G/3G以及向4G的演进中的网络规划与优化,
B109517D7D052482E7442A1962D69D09,CDMA 移动通信网络优化,
FB95528C89CFB0E83EFC54D64013516C,图书馆知识管理研究,
1DD4961B17B023C9C3DAE0939CBBB41B,"现代无线系统射频电路实用设计 = Practical RF circuit design for modern wireless systems . 卷ⅡVolume Ⅱ , 有源电路与系统active circuits and system",
1DD4961B17B023C9C3DAE0939CBBB41B,信息处理与编码,
BFF9B74178C3677F544E00369A7969EA,成就存储专家之路 : 存储从入门到精通,
BFF9B74178C3677F544E00369A7969EA,并行计算机体系结构技术与分析,
D1AD7EC6A5E194C8FBA634463CD0BEB6,《心理学》 (人教版) 笔记和习题详解,
D1AD7EC6A5E194C8FBA634463CD0BEB6,金融学考研真题与典型题详解,
D1AD7EC6A5E194C8FBA634463CD0BEB6,领导学 : 理论、实践与方法,
D1AD7EC6A5E194C8FBA634463CD0BEB6,马克思劳动价值理论与当代现实 = Marx's lalor theory of value and contemporary reality,
D1AD7EC6A5E194C8FBA634463CD0BEB6,认识你自己 : 自我管理的智慧宝典,
D1AD7EC6A5E194C8FBA634463CD0BEB6,时间管理 = The management for dummies,
C4D2AEB657D036B027274B466B89BB44,优化与决策,
C4D2AEB657D036B027274B466B89BB44,智能优化的探索-开发权衡理论与方法,
E680856A79832B81C4B5B55FFEA6E4DB,智能无线传感器网络系统,
E680856A79832B81C4B5B55FFEA6E4DB,数据融合驱动电气设备故障的智能诊断,
E680856A79832B81C4B5B55FFEA6E4DB,泛函分析 = Functional analysis,
E680856A79832B81C4B5B55FFEA6E4DB,振动信号的现代分析技术与应用 = Modern analysis techniques and application of vibration signals,
E680856A79832B81C4B5B55FFEA6E4DB,神经网络原理 = Neural networks : a comprehensive foundation,
0FF3B011CFCCC1CEDB575FD3142942B3,认知与协作无线通信网络 = Communication network technology,
0FF3B011CFCCC1CEDB575FD3142942B3,神经网络在应用科学和工程中的应用 : 从基本原理到复杂的模式识别,
0FF3B011CFCCC1CEDB575FD3142942B3,软件无线电技术与应用,
0FF3B011CFCCC1CEDB575FD3142942B3,认知无线网络理论与关键技术 = Cognitive wireless network theory and key technology,
0FF3B011CFCCC1CEDB575FD3142942B3,高维数据挖掘技术研究 = Research on technologies for high dimensional data mining,
0FF3B011CFCCC1CEDB575FD3142942B3,编程珠玑 = Programming pearls,
0FF3B011CFCCC1CEDB575FD3142942B3,算法设计,
069B3C5450DC20128E4717EB54876929,数据挖掘 : 概念与技术 = Data mining : concepts and techniques,
069B3C5450DC20128E4717EB54876929,人工智能 : 一种现代的方法,
069B3C5450DC20128E4717EB54876929,过程挖掘 : 业务过程的发现、合规和改进,
069B3C5450DC20128E4717EB54876929,业务流程管理,
069B3C5450DC20128E4717EB54876929,过程感知的信息系统,
069B3C5450DC20128E4717EB54876929,规划算法,
069B3C5450DC20128E4717EB54876929,图论算法理论、实现及应用,
069B3C5450DC20128E4717EB54876929,柔性业务过程管理体系与方法,
069B3C5450DC20128E4717EB54876929,工作流管理 : 模型、方法和系统,
069B3C5450DC20128E4717EB54876929,业务流程管理,
069B3C5450DC20128E4717EB54876929,人工智能 = Artificial intelligence : 复杂问题求解的结构和策略structures and strategies for complex problem solving,
D7973990F9C8436D98B8AC6858E24665,现代非参数统计,
D7973990F9C8436D98B8AC6858E24665,应用时间序列分析 : R软件陪同 = Applied time series analysis with R,
D7973990F9C8436D98B8AC6858E24665,线性和广义线性混合模型及其统计诊断,
D7973990F9C8436D98B8AC6858E24665,分类数据分析 = Categorical data analysis,
D7973990F9C8436D98B8AC6858E24665,贝叶斯分析 = Bayesian analysis,
D7973990F9C8436D98B8AC6858E24665,多水平模型及其在经济领域中的应用,
D7973990F9C8436D98B8AC6858E24665,广义估计方程估计方法,
D7973990F9C8436D98B8AC6858E24665,统计模拟及其 R 实现,
D7973990F9C8436D98B8AC6858E24665,高等数理统计学,
D7973990F9C8436D98B8AC6858E24665,现代统计研究基础,
D7973990F9C8436D98B8AC6858E24665,统计诊断 = Statistical diagnostics,
D7973990F9C8436D98B8AC6858E24665,软件测试基础教程 = Foundations of software testing,
D7973990F9C8436D98B8AC6858E24665,科研论文写作新解 : 以主编和审稿人的视角,
D7973990F9C8436D98B8AC6858E24665,广义线性模型的拟似然法,
D7973990F9C8436D98B8AC6858E24665,概率论与数理统计教程,
